Feature ID,T14,S15,T18,S01,S23,T28,T03,S04,Taxon,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence,DomainBactOnly
e52bc080517b1698f568b90830513025,17366,7,39806,0,0,28001,16966,0,d__Bacteria,d__Bacteria,NA,NA,NA,NA,NA,NA,0.997788365,Yes
d033467354c6bcde77590e3193069c30,2484,417,1807,921,803,1188,108,454,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,NA,NA,NA,NA,0.999999319,No
00d8de1151d85589afd41786236a8fc0,2984,220,741,303,289,3826,76,243,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae; g__uncultured; s__uncultured_Rhizobiales,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__uncultured, s__uncultured_Rhizobiales,0.943224414,No
118fca74ff82560cec0e73161a601391,92,12896,0,2758,11,226,53,2023,d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Malaciobacter; s__uncultured_bacterium,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Malaciobacter, s__uncultured_bacterium,0.915405765,No
4e008c8117546fbd3609b96b75e126f7,2975,3011,266,1832,808,1784,11,2933,d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Halarcobacter,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Halarcobacter,NA,0.997643191,No
d2a799d9d11f6e823560c44c36148cf9,375,1044,564,3280,6503,87,0,4218,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Cylindrotheca_closterium,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast, s__Cylindrotheca_closterium,0.990028333,No
75c4f73117eed1329bddb81c064db983,8650,483,0,1320,130,0,276,1515,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Marinifilum; s__Marinifilum_sp.,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Marinifilum, s__Marinifilum_sp.,0.99430507,No
da6eebce513de3669112b6fc6b2b78ad,2022,7159,0,0,399,0,0,72,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Fusibacteraceae; g__Fusibacter; s__Clostridiales_bacterium,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Fusibacteraceae,g__Fusibacter, s__Clostridiales_bacterium,0.999956521,No
04d7ea6d9e84d0aa8d66296f2559e7df,208,478,693,1239,2800,0,59,2015,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Cylindrotheca_closterium,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__Chloroplast,g__Chloroplast, s__Cylindrotheca_closterium,0.978958307,No
1da4d01e6951744e8de8332553cee228,785,213,645,301,473,387,186,113,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales; f__Methylophagaceae; g__Methylophaga; s__uncultured_bacterium,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nitrosococcales,f__Methylophagaceae,g__Methylophaga, s__uncultured_bacterium,0.933734644,No
8af63afb3a7b6b4d139cd55b5d5aeb9f,259,587,66,1050,264,31,0,4713,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Shimia,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Shimia,NA,0.995037341,No
